title,author,avg_rating,total_rating,top_genres,rating_distribution
Siddhartha,Hermann Hesse,4.05,686721,"['Classics', 'Fiction', 'Philosophy', 'Spirituality', 'Religion', 'Literature', 'Buddhism', 'German Literature']","[282238, 225597, 126334, 37399, 15154]"
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.01,1427659,[],[]
The Poisonwood Bible,Barbara Kingsolver,4.08,702875,[],[]
Don Quixote,Miguel de Cervantes Saavedra,3.89,243580,[],[]
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.01,538132,"['Horror', 'Fantasy', 'Fiction', 'Vampires', 'Paranormal', 'Classics', 'Gothic', 'Supernatural']","[204272, 185305, 109190, 29041, 10324]"
The Complete Stories and Poems,Edgar Allan Poe,4.38,239072,"['Classics', 'Poetry', 'Horror', 'Fiction', 'Short Stories', 'Mystery', 'Gothic', 'Fantasy']","[133673, 71692, 26503, 4792, 2412]"
To Kill a Mockingbird,Harper Lee,4.27,5407035,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical', 'Read For School']","[2820750, 1603426, 698812, 184034, 100071]"
It,Stephen King,4.25,970645,[],[]
And Then There Were None,Agatha Christie,4.28,1112820,"['Mystery', 'Classics', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Adult']","[558066, 366052, 142660, 29042, 17011]"
The Shining,Stephen King,4.25,1321402,[],[]
The Old Man and the Sea,Ernest Hemingway,3.79,1002996,[],[]
